"","state","total_enrolled","women_enrollment_perc","minority_enrollment_perc","native_american_enrollment_perc","asian_enrollment_perc","black_enrollment_perc","hispanic_enrollment_perc","pac_island_enroll_perc","white_enrollment_perc","two_more_races_enroll_perc","nonresident_enroll_perc","tuition_4yr_public","tuition_4yr_private","tuition_2yr_public","state_funds","change_in_state_funds","need_based_grants","non_need_based_grants","non_grant_aid","total_aid","all_grad_rates","men_grad_rates","women_grad_rates","native_american_grad_rates","asian_grad_rates","black_grad_rates","hispanic_grad_rates","white_grad_rates","two_more_races_grad_rates","public_doctor_prof_avg_salary","public_doctor_assoc_avg_salary","public_doctor_assist_avg_salary","public_doctor_all_avg_salary","public_masters_prof_avg_salary","public_masters_assoc_avg_salary","public_masters_assist_avg_salary","public_masters_all_avg_salary","other_4yr_avg_salary","other_2yr_avg_salary"
"29","Nevada","119,771",58.3,55.3,0.6,10.9,7.3,28.5,0.9,38.7,7,1.8,5728,28090,NA,576049879,-17.8,13357000,38734000,20301000,72392000,51.1,47.7,53.7,19.2,56.7,31.9,44.5,57.4,45.5,140052,102392,85567,99287,NA,NA,NA,NA,77665,NA
"30","New Hampshire","169,338",62.1,25.5,0.5,2.4,11.6,8.4,0.3,62.6,2.3,2.4,16386,32512,7129,148255470,0.8,3e+06,1910000,0,4910000,66.4,64.6,67.8,66,84.5,46.9,63.8,67.6,62.1,137198,107995,88303,100829,96027,79651,69215,79560,92319,68879
"31","New Jersey","413,175",54.6,46,0.2,9.5,12.8,20.9,0.2,42.5,2.5,5.3,14142,40187,4783,2336710000,-1.1,478494000,7839000,150670000,637003000,70.2,66.8,73.2,61.1,80.6,54.6,62.3,74.7,64.9,173519,117986,96540,123151,127827,102409,83870,102296,NA,81553
"32","New Mexico","121,816",59.4,63.7,9.4,2.1,2.7,46.9,0.2,29.2,2.4,2.6,7139,21793,1702,888046000,-4.7,19264000,60368000,9164000,88796000,47.7,43.3,51.6,26.7,64.9,38.4,45.7,52.4,49.3,114452,85586,77375,87649,84016,70334,60540,65999,56046,61154
"33","New York","1,241,551",56.7,43.5,0.3,9.8,12.8,17.8,0.1,43.6,2.6,8.8,8292,39919,5477,6029448066,-1.4,895619000,46360000,214075000,1156054000,69.7,66,73,54.7,71.9,57,62.1,72.9,69.4,143221,104943,88444,109632,111459,88796,74370,88138,93009,83736
"34","North Carolina","568,563",59.3,38,1,3.6,20.9,8.9,0.1,54.6,3.4,3.5,7255,36689,2499,4374689662,0.4,313673000,8209000,69623000,391505000,65.1,61,68.3,49.5,81.6,50,67.8,70.6,61.5,135300,93539,85277,97900,97446,78301,68937,75585,75499,56024
"35","North Dakota","52,354",52.2,16.3,4.1,1.4,3.2,3.8,0.1,76.2,3.7,4.4,8636,16739,5050,379613257,0,9719000,9930000,1522000,21170000,57.6,54.2,61.5,28,50.7,32.3,44.7,59.8,39.2,114005,86636,76571,84838,86607,71102,64488,64025,57770,61065
"36","Ohio","657,632",56.7,22.8,0.2,3.1,10.9,4.7,0.1,68.5,3.7,4.5,9618,33664,4297,2379374333,-0.8,94342000,41165000,888000,136394000,61.1,57.3,64.5,44,74.6,37.8,56,63.8,49.6,128828,94420,83301,96920,90541,73733,62521,73737,73298,70230
"37","Oklahoma","192,656",57.9,37.5,6.9,3.1,7.7,10.2,0.1,55.5,9.5,4.4,7906,29614,4111,825414742,-3.5,88210000,6636000,13940000,108786000,53,49.6,56.1,39.1,65.7,33.3,48.7,57.5,45.9,135045,93644,85077,93629,84834,69727,63006,65920,75389,55797
"38","Oregon","225,716",55.8,29.6,0.9,5.8,2.8,13.6,0.6,58.6,6,4.5,10859,40410,4868,987957452,2.9,92770000,325000,82427000,175522000,64.4,60.5,67.7,47.3,72.5,48.7,60.3,65.4,64.7,134387,100057,88628,94757,88209,68594,57396,68494,111953,75563
